S. No.,Diameter D (mm),Depth of first layer of soil embedded X1 (m),Depth of second layer of soil embedded X2 (m),Depth of third layer of soil embedded X3 (m),Pile top elevation Xp (m),Ground elevation Xg (m),Extra pile top elevation Xt (m),Pile tip elevation Xm (m),SPT blow count at pile shaft Ns,SPT blow count at pile tip Nt,Pile bearing capacity Pu (kN)
105,400,4.1,1.8,0,2.7,3.32,2.72,8.6,5.9,4.64,559.8
106,400,3.4,7.3,0,3.4,3.49,3.39,14.1,10.7,7.28,1068.8
107,400,4.35,8,1,2.05,3.45,2.05,15.4,13.35,7.63,1119.7
108,400,3.4,7.31,0,3.4,3.54,3.43,14.11,10.71,7.28,1032.8
109,400,3.45,8,0.1,2.95,3.54,3.04,14.5,11.55,7.46,1017.9
110,300,3.4,5.2,0,3.4,3.48,3.48,12,8.6,6.73,611.6
111,400,4.75,7.6,0,2.05,3.49,3.09,14.4,12.35,6.81,1473
112,400,4.35,8,1.04,2.05,3.52,2.08,15.44,13.39,7.65,1321
113,400,3.5,8,0.21,2.9,3.48,2.87,14.61,11.71,7.51,1032.4
114,400,4.65,7.2,0,2.15,3.55,3.55,14,11.85,6.75,1392
115,400,4.35,8,1.08,2.05,3.53,2.05,15.48,13.43,7.67,1248
116,300,3.4,5.25,0,3.4,3.46,3.41,12.05,8.65,6.75,661.6
117,300,3.4,5.2,0,3.4,3.41,3.41,12,8.6,6.73,610.7
118,400,4.35,8,1.1,2.05,3.55,2.05,15.5,13.45,7.69,1425
119,400,4.35,8,0.05,2.05,3.58,3.13,14.45,12.4,7.07,1344
120,400,4.1,2.08,0,2.7,3.63,2.75,8.88,6.18,4.86,432
121,300,3.4,5.25,0,3.4,3.48,3.43,12.05,8.65,6.75,559.8
122,400,3.85,7.35,0,2.95,3.64,3.49,14.15,11.2,7.09,1425
123,300,3.4,5.25,0,3.4,3.48,3.43,12.05,8.65,6.75,508.9
124,400,4.65,7.5,0,2.15,3.59,3.29,14.3,12.15,6.82,1551
125,300,3.4,5.3,0,3.4,3.5,3.4,12.1,8.7,6.76,559.8
126,300,3.4,5.32,0,3.4,3.55,3.43,12.12,8.72,6.77,661.6
127,300,3.4,5.25,0,3.4,3.48,3.43,12.05,8.65,6.75,559.8
128,400,3.5,8,0.16,2.9,3.48,2.92,14.56,11.66,7.47,960
129,400,4.65,7.5,0,2.15,3.55,3.25,14.3,12.15,6.82,1551
130,400,4.75,7.5,0,2.05,3.45,3.15,14.3,12.25,6.79,1297.8
131,300,3.4,5.2,0,3.4,3.42,3.42,12,8.6,6.73,610.7
132,400,4.35,8,1.01,2.05,3.46,2.05,15.41,13.36,7.64,1550
133,300,3.4,5.2,0,3.4,3.41,3.41,12,8.6,6.73,610.7
134,400,3.4,7.3,0,3.4,3.54,3.44,14.1,10.7,7.28,967
135,400,4.25,8,1.03,2.15,3.58,2.15,15.43,13.28,7.69,1248
136,300,3.4,5.25,0,3.4,3.46,3.41,12.05,8.65,6.75,559.8
137,300,3.4,5.3,0,3.4,3.51,3.41,12.1,8.7,6.76,661.6
138,400,4.25,8,0.4,2.15,3.55,2.75,14.8,12.65,7.32,1392
139,400,4.35,8,0.95,2.05,3.41,2.06,15.35,13.3,7.6,1110.6
140,300,3.4,5.2,0,3.4,3.4,3.4,12,8.6,6.73,559.8
141,400,3.85,7.3,0,2.95,3.68,3.58,14.1,11.15,7.08,1440
142,400,4.1,2.08,0,2.7,3.58,2.7,8.88,6.18,4.86,480
143,400,4.45,8,1.18,1.95,3.58,2,15.58,13.63,7.69,1032.4
144,300,3.4,5.2,0,3.4,3.4,3.4,12,8.6,6.73,559.8
145,300,3.4,5.2,0,3.4,3.43,3.43,12,8.6,6.73,661.6
146,300,3.4,5.25,0,3.4,3.46,3.41,12.05,8.65,6.75,407.2
147,400,3.45,8,0.22,2.95,3.57,2.95,14.62,11.67,7.53,1318
148,400,4.25,8,1.01,2.15,3.57,2.16,15.41,13.26,7.68,1248
149,400,3.4,7.3,0,3.4,3.5,3.4,14.1,10.7,7.28,958
150,400,4.1,2.2,0,2.7,3.72,2.72,9,6.3,4.94,610.7
151,400,4.35,8,1.02,2.05,3.47,4.05,15.42,13.37,7.64,1318
152,400,4.25,8,0.9,2.15,3.53,2.23,15.3,13.15,7.61,1395
153,400,4.25,8,0.4,2.15,3.59,2.79,14.8,12.65,7.32,1551
154,300,3.4,5.24,0,3.4,3.48,3.44,12.04,8.64,6.75,559.8
155,400,4.25,8,0.4,2.15,3.55,2.75,14.8,12.65,7.32,1392
156,300,3.4,5.25,0,3.4,3.46,3.41,12.05,8.65,6.75,661.6
157,400,4.05,8,0.7,2.35,3.47,2.37,15.1,12.75,7.58,1318
158,300,3.4,5.23,0,3.4,3.44,3.41,12.03,8.63,6.74,585.35
159,400,4.35,8,0.7,2.05,3.49,2.39,15.1,13.05,7.46,1392
160,400,4.25,8,1,2.15,3.57,2.17,15.4,13.25,7.67,1248
161,400,4.25,8,1,2.15,3.58,2.18,15.4,13.25,7.67,1395
162,400,4.25,8,1,2.15,3.56,2.16,15.4,13.25,7.67,1395
163,400,4.25,8,1.01,2.15,3.57,2.16,15.41,13.26,7.68,1248
164,400,4.25,8,0.1,2.15,3.53,3.03,14.5,12.35,7.14,1551
165,400,3.5,8,0.17,2.9,3.48,2.91,14.57,11.67,7.48,1056
166,400,4.25,8,1.02,2.15,3.58,2.16,15.42,13.27,7.68,1248
167,300,3.4,5.25,0,3.4,3.46,3.41,12.05,8.65,6.75,532.4
168,400,4.35,8,0.8,2.05,3.45,2.25,15.2,13.15,7.52,1392
169,300,3.4,5.2,0,3.4,3.45,3.45,12,8.6,6.73,610.7
170,400,4.25,8,0.98,2.15,3.54,2.16,15.38,13.23,7.66,1344
171,400,4.25,8,1,2.15,3.56,2.16,15.4,13.25,7.67,1344
172,400,3.45,8,0.25,2.95,3.6,2.95,14.65,11.7,7.55,960
173,400,4.65,7.24,0,2.15,3.54,3.5,14.04,11.89,6.76,1551
174,400,4.25,8,0.9,2.15,3.58,2.28,15.3,13.15,7.61,1395
175,400,3.4,7.3,0,3.4,3.5,3.4,14.1,10.7,7.28,900
176,400,3.4,7.4,0,3.4,3.61,3.41,14.2,10.8,7.3,1088.8
177,400,4.25,8,0.1,2.15,3.54,3.04,14.5,12.35,7.14,1551
178,400,3.4,7.23,0,3.4,3.43,3.4,14.03,10.63,7.26,960
179,300,3.4,5.3,0,3.4,3.52,3.42,12.1,8.7,6.76,610.7
180,400,4.1,2,0,2.7,3.55,2.75,8.8,6.1,4.8,610.7
181,400,4.25,8,1.03,2.15,3.58,2.15,15.43,13.28,7.69,1248
182,400,3.45,8,0.12,2.95,3.47,2.95,14.52,11.57,7.47,1318
183,400,4.25,8,1,2.15,3.58,2.18,15.4,13.25,7.67,1395
184,400,4.35,8,1.11,2.05,3.56,2.05,15.51,13.46,7.69,1128.6
185,400,4.45,7.21,0,2.35,3.41,2.4,14.01,11.66,6.83,1318
186,400,4.65,7.38,0,2.15,3.58,3.4,14.18,12.03,6.79,1551
187,400,4.25,8,1,2.15,3.56,2.16,15.4,13.25,7.67,1248
188,400,4.25,8,0.2,2.15,3.58,2.98,14.6,12.45,7.2,1551
189,400,4.65,7.6,0,2.15,3.58,3.18,14.4,12.25,6.84,1446
190,300,3.4,5.22,0,3.4,3.44,3.42,12.02,8.62,6.74,617
191,400,4.75,7.4,0,2.05,3.52,3.32,14.2,12.15,6.76,1425
192,400,4.65,7.4,0,2.15,3.59,3.39,14.2,12.05,6.8,1392
193,400,3.4,7.3,0,3.4,3.61,3.51,14.1,10.7,7.28,1115.2
194,300,3.4,5.25,0,3.4,3.49,3.44,12.05,8.65,6.75,559.8
195,300,3.4,5.25,0,3.4,3.46,3.41,12.05,8.65,6.75,559.8
196,400,4.25,8,1,2.15,3.58,2.18,15.4,13.25,7.67,1395
197,300,3.4,5.18,0,3.4,3.38,3.4,11.98,8.58,6.73,559.8
198,400,4.25,8,0.91,2.15,3.56,2.25,15.31,13.16,7.62,1473
199,400,4.05,8,0.7,2.35,3.48,2.38,15.1,12.75,7.58,1238
200,400,4.1,2.01,0,2.7,3.53,2.72,8.81,6.11,4.8,528
